NombreDeUsuario,Ciudad,FechaHora,Temperatura_C,Condicion_Clima,Humedad_Porcentaje,Viento_kmh
luis,Buenos Aires,2026-05-28 15:53:21,13.54,nubes,85,18.5
luis,Buenos Aires,2026-05-28 15:54:09,13.54,nubes,85,18.5
luis,Madrid,2026-05-28 15:57:47,32.25,cielo claro,19,5.5
luis,Madrid,2026-05-28 16:30:22,31.47,cielo claro,20,5.5
luis,Madrid,2026-05-28 16:30:55,31.27,cielo claro,21,5.5
luis,Madrid,2026-05-28 16:32:28,31.27,cielo claro,21,5.5
luis,Buenos Aires,2026-05-28 16:33:54,14.16,nubes,86,20.4
luis,Madrid,2026-05-28 16:35:01,31.27,cielo claro,21,5.5
indiana,London,2026-05-28 20:43:34,22.95,nubes,58,7.4
sara,Paris,2026-05-28 20:45:22,22.1,cielo claro,73,3.7
sara,Córdoba,2026-05-28 20:45:33,13.64,nubes,93,3.7
sara,Miami,2026-05-28 20:45:46,27.77,lluvia ligera,83,14.8
andres,Miami,2026-05-28 20:46:26,27.77,lluvia ligera,83,14.8
andres,London,2026-05-28 20:46:30,22.95,nubes,58,7.4
francisco,Tokyo,2026-05-28 20:47:57,28.73,muy nuboso,51,24.1
francisco,Seoul,2026-05-28 20:48:07,20.76,niebla,88,3.7
pablo975,Istanbul,2026-05-28 20:48:42,18.75,muy nuboso,77,24.1
pablo975,Dubai,2026-05-28 20:48:46,30.96,cielo claro,74,5.5
pablo975,Barcelona,2026-05-28 20:48:51,25.66,cielo claro,45,1.8
leonelm178,Barcelona,2026-05-28 20:49:26,25.66,cielo claro,45,1.8
leonelm178,Rio de Janeiro,2026-05-28 20:49:30,21.21,algo de nubes,79,11.1
leonelm178,Paris,2026-05-28 20:49:36,22.1,cielo claro,73,3.7
vanesalopez,Córdoba,2026-05-28 20:50:14,13.64,nubes,93,3.7
vanesalopez,Bariloche,2026-05-28 20:50:18,7.86,muy nuboso,93,3.7
vanesalopez,Dubai,2026-05-28 20:50:26,30.96,cielo claro,74,5.5
jane,Toronto,2026-05-28 20:51:09,18.69,cielo claro,52,24.1
jane,Miami,2026-05-28 20:51:12,27.77,lluvia ligera,83,14.8
jane,Buenos Aires,2026-05-28 20:51:16,13.41,nubes,88,20.4
jane,London,2026-05-28 20:51:20,22.95,nubes,58,7.4
luis,Córdoba,2026-05-28 20:51:39,13.64,nubes,93,3.7
luis,Berlin,2026-05-28 20:51:46,9.71,cielo claro,89,5.5
luis,Lima,2026-05-28 20:51:51,21.61,muy nuboso,78,24.1
luis,Barcelona,2026-05-28 20:51:56,25.66,cielo claro,45,1.8
javier,Sydney,2026-05-28 20:52:24,16.25,lluvia ligera,76,38.9
javier,Rome,2026-05-28 20:52:30,16.46,muy nuboso,63,18.5
javier,Paris,2026-05-28 20:52:33,22.1,cielo claro,73,3.7
antonio,Madrid,2026-05-28 20:53:29,22.82,cielo claro,34,1.8
antonio,London,2026-05-28 20:53:39,22.77,nubes,60,4.8
maria,Madrid,2026-05-29 07:20:42,28.91,cielo claro,24,7.4
maria,Madrid,2026-05-30 12:02:58,33.94,cielo claro,20,14.8
maria,Madrid,2026-05-30 12:52:24,34.64,cielo claro,18,18.5
luis,Madrid,2026-05-30 12:52:41,34.64,cielo claro,18,18.5
luis,Madrid,2026-05-30 19:13:22,26.7,cielo claro,32,16.7
pedro,Buenos Aires,2026-05-30 19:14:17,12.45,cielo claro,82,1.8
pedro,Buenos Aires,2026-05-30 19:15:10,12.45,cielo claro,82,1.8
anonimo123,Madrid,2026-05-30 22:16:15,23.53,cielo claro,43,11.1
anonimo123,Madrid,2026-05-30 22:16:51,23.53,cielo claro,43,11.1
Indiana,Buenos Aires,2026-05-31 08:35:51,9.82,bruma,87,1.8
Indiana,Buenos Aires,2026-05-31 08:37:13,9.82,bruma,87,1.8
Indiana,Buenos Aires,2026-05-31 08:37:25,9.82,bruma,87,1.8
Indiana,Madrid,2026-05-31 08:56:10,31.69,cielo claro,22,14.8
Indiana,Buenos Aires,2026-05-31 08:56:48,9.9,bruma,87,1.8
